No Soal,Part Nama,Nama File Audio,Kunci Jawaban,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Audio Script,Pertanyaan,Penjelasan Lengkap
122,Part B: Long Conversation,listening_simulation_71.mp3,A,She is completely lost and confused about the guidelines.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the client's presentation slides? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can schedule an urgent one-on-one meeting with the director together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu completely lost and confused about the guidelines.
123,Part B: Long Conversation,listening_simulation_71.mp3,B,Cancel the project entirely.,Eat lunch and schedule an urgent one-on-one meeting with the director.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the client's presentation slides? 
Woman: Yes, but I am completely lost and confused about the guidelines. 
Man: Don't worry. Let's grab lunch and we can schedule an urgent one-on-one meeting with the director together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu schedule an urgent one-on-one meeting with the director.
124,Part C: Academic Talks,listening_simulation_72.mp3,A,A comprehensive analysis of the psychology of consumer choice.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the psychology of consumer choice.
125,Part C: Academic Talks,listening_simulation_72.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
126,Part C: Academic Talks,listening_simulation_73.mp3,A,A comprehensive analysis of conflict resolution in corporate teams.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis conflict resolution in corporate teams.
127,Part C: Academic Talks,listening_simulation_73.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore conflict resolution in corporate teams. Establishing clear communication channels and setting neutral boundaries early helps prevent personal bias from derailing collaborative milestones. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
128,Part C: Academic Talks,listening_simulation_74.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
129,Part C: Academic Talks,listening_simulation_74.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
130,Part C: Academic Talks,listening_simulation_75.mp3,A,A comprehensive analysis of the impact of artificial intelligence on logistics.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the impact of artificial intelligence on logistics.
131,Part C: Academic Talks,listening_simulation_75.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,Speaker: Good morning class. Today we will explore the impact of artificial intelligence on logistics. Using predictive algorithms for warehouse supply chains reduces overhead storage costs by roughly fifteen percent globally. This study will serve as our primary benchmark for corporate productivity.,What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
132,Part C: Academic Talks,listening_simulation_76.mp3,A,A comprehensive analysis of the psychology of consumer choice.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the psychology of consumer choice.
133,Part C: Academic Talks,listening_simulation_76.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
